Company,Country,Market Cap ($B),Q1: 2016 Cash ($B),2015 Revenue ($B)
Apple,USA, $547 , $233 , $235 
Google/Alphabet,USA, $510 , $79 , $75 
Amazon,USA, $341 , $16 , $107 
Facebook,USA, $340 , $21 , $18 
Tencent,China, $206 , $14 , $16 
Alibaba,China, $205 , $18 , $15 
Priceline Group,USA, $63 , $11 , $9 
Uber,USA, $63 , $0   , $0   
Baidu,China, $62 , $11 , $10 
Ant Financial,China, $60 , $0   , $0   
Salesforce,USA, $57 , $4 , $7 
Xiaomi,China, $46 , $0   , $0   
Paypal,USA, $46 , $6 , $9 
Netflix,USA, $44 , $2 , $7 
Yahoo,USA, $36 , $10 , $5 
JD.com,China, $34 , $5 , $28 
eBay,USA, $28 , $11 , $9 
Airbnb,USA, $26 , $0   , $0   
Yahoo Japan,Japan, $26 , $5 , $5 
Didi Kuaidi,China, $25 , $0   , $0   
